# file...... time_results/meter_data_no1547_zip/current/m652.csv
# date...... Wed May  2 01:07:02 2018
# user...... ericlinxie
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag
2000-08-02 11:53:40 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:41 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:42 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:43 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:44 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:45 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:46 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:47 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:48 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:49 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:50 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:51 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:52 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:53 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:54 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:55 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:56 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:57 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:58 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:59 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:00 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:01 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:02 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:03 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:04 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:05 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:06 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:07 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:08 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:09 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:10 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:11 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:12 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:13 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:14 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:15 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:16 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:17 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:18 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:19 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:20 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:21 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:22 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:23 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:24 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:25 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:26 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:27 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:28 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:29 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:30 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:31 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:32 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:33 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:34 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:35 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:36 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:37 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:38 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:39 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:40 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:41 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:42 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:43 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:44 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:45 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:46 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:47 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:48 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:49 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:50 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:51 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:52 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:53 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:54 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:55 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:56 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:57 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:58 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:54:59 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:00 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:01 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:02 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:03 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:04 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:05 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:06 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:07 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:08 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:09 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:10 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:11 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:12 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:13 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:14 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:15 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:55:16 HDT,+57.7922,-29.5906,+0,+0,+0,+0
